rms,kurtosis,peak,crest_factor,shape_factor,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,spec_mean,spec_std,spec_centroid,set_id
0.9701151504461851,1.667996728,1.5949916151617805,0.7188506325794682,-1.686583522,2.1003512128399415,0.46426973715892333,0.029970407827471325,0.32470775206825264,0.33525071655803373,-0.093071707,-0.15621421,-0.071650258,-0.235807994,-0.185652648,-0.217350123,-0.230464948,-0.238381934,-0.262553583,-0.258620749,-0.266390902,-0.263452464,-0.646681718,-0.659472868,-0.48400668,-0.439593574,-0.327367654,-0.281787098,-0.428210728,-0.438843372,-0.368433815,-0.42805536,-0.413747468,-0.684953027,-0.668038605,-0.63977881,-0.606319167,-0.594243204,-0.51504386,-0.602567142,-0.587097506,-0.506459977,-0.667023606,-0.608621331,-0.639556462,-0.53484653,-0.478258148,-0.353168864,-0.418289285,-0.531748894,-0.55423427,-0.392460922,-0.255082781,-0.249086641,-0.049350338,-0.252001657,1.2249595250363245,2.900267643360309,1
0.9459842473910551,1.9756381110983452,1.1629007783007659,0.045473828,-1.749741634,2.4309050529130585,0.16988208293274534,-0.455712447,-0.290773262,-0.488905223,-0.546312124,-0.493120815,-0.476284422,-0.478593507,-0.402791239,-0.323999227,-0.739708939,-0.76302252,-0.611836884,-0.394935814,-0.53569404,-0.490596815,-0.458795972,-0.30182514,-0.139027887,-0.539032901,-0.516442446,-0.380651973,-0.350930754,-0.393278884,-0.317574854,-0.687658432,-0.942054866,-0.872806,-0.909897781,-0.835866525,-0.859447199,-0.830518648,-0.904023154,-0.933240116,-0.933690186,-0.90938856,-0.854859176,-0.825996018,-0.758007851,-0.716585959,-0.626897295,-0.668485044,-0.814019957,-0.814558742,-0.789648628,-0.708719623,-0.668523842,-0.475052785,-0.349185605,-0.313991823,1.2196699583041242,3.051272630469553,1
0.9891328598680785,1.3920275811444256,0.9599490215933194,-0.373051906,-1.813315237,2.5734263782721545,0.4415326098607352,-0.363926743,-0.202628068,0.082506851,0.26888461643378675,0.12524896262643406,0.091456959,0.11755143517974659,0.012168585046235476,0.1310004907034832,0.3282399031157139,-0.763892592,-0.882540306,-0.723110236,-0.587467405,-0.725092638,-0.587606927,-0.500175893,-0.581397839,-0.624739687,-0.490344995,-0.354682874,-0.336397285,-0.234280005,-0.325676893,-0.654943575,-0.568370713,-0.570312378,-0.895369947,-0.908614504,-0.90292731,-0.974576689,-1.091576458,-1.078326228,-1.028114994,-0.998623444,-0.956003421,-0.939103145,-0.857668061,-0.785160399,-0.941344429,-0.826831024,-0.806534355,-0.66804653,-0.750743547,-0.62433325,-0.591479454,-0.582930933,-0.445263088,-0.350664432,1.2605694969194294,3.312945695870554,1
0.9876623781245626,1.5518872346914847,0.7962782500550561,-0.64171747,-1.779347204,1.8293310069347961,0.473153151,0.10006201966640584,0.47895775585909195,-0.596784315,-0.512588041,-0.482645946,-0.403584791,-0.336194068,-0.285212835,-0.123861279,-0.311998396,-0.222461429,-0.121450612,-0.370256938,-0.669934534,-0.637854836,-0.542184496,-0.598359791,-0.751920383,-0.641814366,-0.66999221,-0.534562802,-0.57108237,-0.452962503,-0.531427644,-0.472258382,-0.48119008,-0.426017271,-0.38740184,-0.492043053,-0.476108988,-0.426219976,-0.353107947,-0.514156715,-0.583334986,-0.490748235,-0.464690147,-0.532046361,-0.513650648,-0.542863713,-0.467306963,-0.389287526,-0.396195988,-0.502097418,-0.530555518,-0.353860712,-0.167124867,0.038079671,0.12162116134092045,-0.191503787,1.2430817595000947,2.828617343,1
1.0003101145666138,1.8045237555671294,0.9599490215933194,-0.393053225,-1.614122039,1.638143904659821,0.3591210467565741,-0.203660193,0.10122639022564657,0.099339088,-0.465775946,-0.364434434,-0.230626721,-0.397814273,-0.27648509,-0.241376141,-0.068827443,0.0361145,-0.36609434,-0.110006406,0.029045278408607555,-0.299824039,-0.057306623,-0.029625653,0.13320630931064179,-0.413727281,-0.407225148,-0.273208279,-0.268317827,-0.179708953,-0.063224565,-0.095268633,-0.120586901,-0.23434707,-0.244227601,-0.342451551,-0.400271177,-0.387763684,-0.591227045,-0.71109717,-0.644491069,-0.645308056,-0.560900551,-0.511680409,-0.413004127,-0.401685232,-0.340717472,-0.420983004,-0.532387945,-0.378763729,-0.24904809,-0.13433661,-0.14482267,0.003020812,0.21813629790016478,-0.118147786,1.239430287956379,2.329977358550365,1
1.0114331619745427,1.7536250888781961,0.573686001,-1.049103891,-1.664150526,1.7814689905783938,0.6941715614123579,0.6971280748505386,0.7157545636080751,0.635567272,-0.347393502,-0.545617245,-0.492522022,-0.464996889,-0.398352775,-0.297800858,-0.325371502,-0.208181722,-0.019727798,0.16231967006960327,0.3202624102833154,0.2874021637638475,-0.020460748,0.03951969,-0.094093867,0.03527512,0.013960392607853174,0.005143205,-0.173805733,-0.063599856,-0.280745197,-0.355175187,-0.3654038,-0.435290425,-0.390287216,-0.470795253,-0.477210466,-0.472847515,-0.445289712,-0.370683825,-0.34456468,-0.290949533,-0.221397798,-0.115819091,0.000767865,-0.077357519,0.002519672,0.14663397134313536,0.14792621739863715,0.2327159194156988,0.40329398727898375,0.6050847136622571,0.4867509731131855,0.6631670872492839,-0.041443629,-0.126290694,1.2550513458314794,2.360074505311055,1
0.9962608028997664,1.0639937378042152,1.248009579500663,0.090589123,-1.743788283,2.7120971606000333,0.5421263433896398,0.31770338070605086,-0.045087795,-0.027713608,0.091796503,0.171579665,-0.199864041,-0.105426466,0.037090431316907035,0.097098584,-0.279761934,-0.661104573,-0.973162053,-0.814241846,-0.750119324,-0.651763349,-0.511186253,-0.381383319,-0.461084965,-0.289806411,-0.527840672,-0.410842477,-0.329063076,-0.314137943,-0.219055117,-0.328653528,-0.436579092,-0.421150162,-0.418917621,-0.584731527,-0.52551063,-0.522116037,-0.538817263,-0.550871705,-0.531343501,-0.636060964,-0.567587298,-0.525642843,-0.423435742,-0.353348665,-0.248925541,-0.288666063,-0.401709657,-0.285522549,-0.18689226,-0.029404718,0.033592647,0.1978758846511683,0.1812018543590879,-0.191159056,1.247169754067147,2.9672923839982848,1
0.9839479009532689,1.1046207816339253,0.8290124043627088,-0.580992277,-1.771010948,2.555147009610921,0.4361875402390651,-0.234316377,0.13817785759785706,-0.016566512,0.13141795867063763,0.29056576164994563,-0.279371611,-0.286883351,-0.40503598,-0.251032218,-0.391580842,-0.408504195,-0.36185247,-0.31893898,-0.336894137,-0.155819681,0.054558499,0.25737005373413296,0.4041610723330598,0.21177998871895912,0.35332577181027797,0.2601816083456979,-0.091426948,-0.049450085,0.059694128,0.088862148,-0.284609064,-0.47652104,-0.46967827,-0.38088055,-0.345465296,-0.369735514,-0.565629467,-0.50706781,-0.44590209,-0.511883861,-0.470438633,-0.447190735,-0.36028026,-0.415391378,-0.563868355,-0.527249082,-0.49917472,-0.366336099,-0.212681716,-0.12950468,0.037269212,0.16579889956809998,0.21031274247435366,-0.272616413,1.2502296579849714,4.050436842503691,1
0.9936194076010877,1.2316469160348824,1.4378676744850476,0.40986644781114395,-1.81954498,2.1716057774080406,0.5608811612274721,-0.309365722,0.16056276199279704,0.2777463329395856,0.18728764498999767,0.3837433867024471,0.2895787046809214,-0.414917405,-0.283444796,-0.31421173,-0.140994377,-0.072295268,-0.691150925,-0.493243316,-0.908892369,-1.063406354,-1.107884421,-0.90900025,-0.760570674,-0.680114161,-0.63723936,-0.552785752,-0.490636654,-0.554933908,-0.452151476,-0.345001796,-0.262692136,-0.171914948,-0.090562237,-0.125860939,-0.053866451,-0.054452758,-0.150379441,-0.260391123,-0.278550196,-0.305828211,-0.342351141,-0.279898148,-0.263122517,-0.367901804,-0.458457734,-0.51317684,-0.648882949,-0.840510475,-0.766941243,-0.611599222,-0.453125275,-0.371099655,-0.264049292,-0.182337059,1.2489993452633579,2.567025785674525,1
0.9765443816455418,1.1793805727717923,0.9730426833163806,-0.328613874,-1.707980007,1.7360294798511133,0.3276031801108546,-0.378766894,0.003085083,-0.206332358,-0.031649088,-0.188604479,-0.075280831,0.000211281,0.1761140506587405,-0.264240739,-0.119788106,-0.472220671,-0.730330441,-0.544020459,-0.43140273,-0.453616476,-0.29719522,-0.435802336,-0.314057124,-0.160637689,-0.245767639,-0.105727392,-0.072791009,-0.084140595,-0.520138663,-0.542996475,-0.486023287,-0.40650542,-0.672068187,-0.646484861,-0.57569209,-0.503464254,-0.424122933,-0.338502447,-0.242693959,-0.148192456,-0.166791476,-0.077327639,-0.169457488,-0.066923771,0.06243449,0.044478497,-0.271364794,-0.172089691,-0.267014381,-0.132956713,-0.101290659,0.013784793453317297,0.18796976530453907,-0.201407309,1.2274120940132078,1.8658166846640185,1
